Show,Theatre,Option,Price,How,Where,Time,Payment Method,ID,Tickets Per Person,Seat Locations,Number of Tickets Available,Special Policies
ALADDIN,New Amsterdam Theatre - 214 W. 42nd St. betw. 7th & 8th Aves.,Digital Lottery,$35,AladdinTheMusical.com/lottery ,,Lottery opens 7 PM day prior to desired performance. Lottery closes 8:30 AM day of performance. ,Credit card,Photo ID,Limit 2,Determined at the discretion of the box office; may be partial view ,Determined at the discretion of the box office,Entrants must be 18 years of age or older. Tickets are non-transferable. Tickets must be purchased via credit card within allotted 60-minute window or may be released for general sale. Tickets may be retrieved at the box office 30-90 minutes before the performance time. Multiple entries for a single performance by a single guest will result in disqualification. See website for full details.
BAD CINDERELLA,"Imperial Theatre - 249 W. 45th st., between 7th and 8th Aves.",Digital Lottery,$55,Submit online form,rush.telecharge.com,The lottery will open at 12 AM on the day before the performance closing at 3 PM the day before the performance. Winners are drawn at 10:00 AM and 3:00 PM,,Credit card used for purchase,Limit 2,,,Winners will be notified by email shortly after each drawing and have six hours to claim and purchase tickets online. Tickets will be emailed.
BAD CINDERELLA,"Imperial Theatre - 249 W. 45th st., between 7th and 8th Aves.",Digital Rush,$30,Submit online form,rush.telecharge.com,11 AM the day of each performance,Credit card,,Limit 2,Determined at the discretion of the box office,Subject to availability.,
BAD CINDERELLA,"Imperial Theatre - 249 W. 45th st., between 7th and 8th Aves.",General Rush,$30,Available on the day of the performance.,Imperial Theatre box office,"10 AM Monday-Saturday, 12 PM Sunday",Cash or credit card,N/A,Limit 2,Determined at the discretion of the box office,Subject to daily availability.,
CAMELOT,Vivian Beaumont Theatre - 150 W. 65th St.,Digital Lottery,$44,Submit online form,camelotbwaylottery.com,The lottery will open at 12 AM on the day before the performance closing at 3 PM the day before the performance. Winners are drawn at 10:00 AM for matinees and 3:00 PM for evening performances,,Credit card used for purchase,Limit 2,,,Winners will be notified by email shortly after each drawing and have six hours to claim and purchase tickets online. Tickets will be emailed.
CHICAGO,Ambassador Theatre - 219 W. 49th St. betw. Broadway and 8th Ave.,General Rush,$49,"On sale when the box office opens on a first-come, first-served basis",Ambassador Theatre box office,10 AM Monday–Saturday; noon Sunday,Cash and credit card,N/A ,Limit 2,Determined at the discretion of the box office,25,Subject to availability.
CHICAGO,Ambassador Theatre - 219 W. 49th St. betw. Broadway and 8th Ave.,Standing Room,$27,Available at the box office on the day of the performance only if the show is sold out,Ambassador Theatre box office,10 AM Monday–Saturday; noon Sunday,Cash and credit card,N/A,Limit 2 ,Standing positions at the back of the orchestra,,Subject to availability. Available when the show is sold out.
CHICAGO,Ambassador Theatre - 219 W. 49th St. betw. Broadway and 8th Ave.,Digital Rush,$35,Available through the TodayTix app,todaytix.com,9 AM,Credit card,Valid photo ID,Limit 2,Determined at the discretion of the box office,Subject to availability.,
FAT HAM,"American Airlines Theatre - 227 W. 42nd Street, between 7th and 8th Ave.",Digital Rush,$39,Available through the TodayTix app,todaytix.com,9 AM,Credit card,Valid photo ID,Limit 2,Determined at the discretion of the box office,Subject to availability.,
FUNNY GIRL,"August Wilson Theatre- 245 West 52nd Street, between Broadway and 8th Ave.",Digital Lottery,$40,Submit online form,rush.telecharge.com,The lottery will open at 12 AM on the day before the performance closing at 3 PM the day before the performance. Winners are drawn at 10:00 AM and 3:00 PM,,,Limit 2,,,Winners will be notified by email shortly after each drawing and have five hours to claim and purchase tickets online. Tickets will be emailed.
